cohort,winner,rate_delta_per_1k,codex_rate_per_1k,claude_rate_per_1k,codex,claude,total,one_sided,stack
top,claude,-98.572,0.0,98.572,0,145,145,True,project:agentsight;session:paper;prompt:commit;tool:shell;cmd:gh;effect:process;status:ok
top,claude,-78.858,0.0,78.858,0,116,116,True,project:agentsight;session:paper;prompt:aggregate;tool:shell;cmd:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
all,claude,-76.076,0.0,76.076,0,145,145,True,project:agentsight;session:paper;prompt:commit;tool:shell;cmd:gh;effect:process;status:ok
all,claude,-60.86,0.0,60.86,0,116,116,True,project:agentsight;session:paper;prompt:aggregate;tool:shell;cmd:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
top,claude,-52.345,0.0,52.345,0,77,77,True,project:agentsight;session:paper;prompt:db;tool:shell;cmd:tail;effect:read;path:session/tasks;status:ok
subagent,codex,42.781,42.781,0.0,16,0,16,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
all,claude,-40.399,0.0,40.399,0,77,77,True,project:agentsight;session:paper;prompt:db;tool:shell;cmd:tail;effect:read;path:session/tasks;status:ok
subagent,claude,-34.483,0.0,34.483,0,15,15,True,project:agentsight;session:subagent;prompt:collector;tool:edit;cmd:edit;effect:write;path:collector/src/cmd_exec.rs;status:ok
subagent,claude,-32.184,0.0,32.184,0,14,14,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cargo;effect:test;status:ok
subagent,codex,26.738,26.738,0.0,10,0,10,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
top,claude,-24.473,0.0,24.473,0,36,36,True,project:agentsight;session:paper;prompt:metrics;tool:shell;cmd:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
subagent,claude,-22.989,0.0,22.989,0,10,10,True,project:agentsight;session:model;prompt:collector;tool:shell;cmd:grep;effect:read;path:collector/src;status:ok
subagent,claude,-22.989,0.0,22.989,0,10,10,True,project:agentsight;session:subagent;prompt:collector;tool:edit;cmd:edit;effect:write;path:collector/src/cmd_top.rs;status:ok
subagent,claude,-22.989,0.0,22.989,0,10,10,True,project:agentsight;session:subagent;prompt:collector;tool:edit;cmd:edit;effect:write;path:collector/src/output;status:ok
top,codex,22.282,22.282,0.0,75,0,75,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:git;effect:read;status:ok
subagent,codex,21.39,21.39,0.0,8,0,8,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:head;effect:read;path:docs/visexp/out;status:ok
subagent,codex,21.39,21.39,0.0,8,0,8,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:origin/master...head;status:ok
subagent,codex,21.39,21.39,0.0,8,0,8,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:git;effect:read;path:origin/master...head;status:ok
subagent,codex,21.39,21.39,0.0,8,0,8,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:nl;effect:read;path:collector/src/view;status:ok
subagent,codex,21.39,21.39,0.0,8,0,8,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
subagent,claude,-20.69,0.0,20.69,0,9,9,True,project:agentsight;session:model;prompt:collector;tool:shell;cmd:find;effect:read;path:.rs;status:ok
all,codex,20.053,20.053,0.0,75,0,75,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:git;effect:read;status:ok
all,claude,-18.888,0.0,18.888,0,36,36,True,project:agentsight;session:paper;prompt:metrics;tool:shell;cmd:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
subagent,codex,18.717,18.717,0.0,7,0,7,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:jq;effect:read;path:docs/visexp/out;status:ok
subagent,codex,18.717,18.717,0.0,7,0,7,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
subagent,claude,-18.391,0.0,18.391,0,8,8,True,project:agentsight;session:subagent;prompt:collector;tool:edit;cmd:edit;effect:write;path:collector/src/cmd_trace.rs;status:ok
subagent,claude,-16.092,0.0,16.092,0,7,7,True,project:agentsight;session:model;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/analyzers;status:ok
subagent,claude,-16.092,0.0,16.092,0,7,7,True,project:agentsight;session:model;prompt:collector;tool:shell;cmd:find;effect:read;path:collector/src;status:ok
subagent,claude,-16.092,0.0,16.092,0,7,7,True,project:agentsight;session:subagent;prompt:collector;tool:edit;cmd:edit;effect:write;path:collector/src/main.rs;status:ok
subagent,claude,-16.092,0.0,16.092,0,7,7,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cd;effect:process;path:repo;status:ok
subagent,codex,16.043,16.043,0.0,6,0,6,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:origin/master;status:ok
subagent,codex,16.043,16.043,0.0,6,0,6,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:awk;effect:process;path:docs/visexp/out;status:ok
subagent,codex,16.043,16.043,0.0,6,0,6,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
subagent,codex,16.043,16.043,0.0,6,0,6,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
subagent,claude,-13.793,0.0,13.793,0,6,6,True,project:agentsight;session:subagent;prompt:collector;tool:edit;cmd:edit;effect:write;path:collector/src/cli_db.rs;status:ok
subagent,codex,13.369,13.369,0.0,5,0,5,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:nl;effect:read;path:collector/src/sources;status:ok
subagent,claude,-11.494,0.0,11.494,0,5,5,True,project:agentsight;session:model;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/runners;status:ok
subagent,claude,-11.494,0.0,11.494,0,5,5,True,project:agentsight;session:model;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/view;status:ok
subagent,claude,-11.494,0.0,11.494,0,5,5,True,project:agentsight;session:subagent;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/main.rs;status:ok
subagent,claude,-11.494,0.0,11.494,0,5,5,True,project:agentsight;session:subagent;prompt:implement;tool:read;cmd:read;effect:read;path:frontend/src/i18n;status:ok
top,codex,11.289,11.289,0.0,38,0,38,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;status:ok
all,codex,10.963,10.963,0.0,41,0,41,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;status:ok
subagent,codex,10.695,10.695,0.0,4,0,4,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:collector/src/cmd_exec.rs;status:ok
subagent,codex,10.695,10.695,0.0,4,0,4,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:collector/src/cmd_trace.rs;status:ok
subagent,codex,10.695,10.695,0.0,4,0,4,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:nl;effect:read;path:collector/src/cmd_trace.rs;status:ok
subagent,codex,10.695,10.695,0.0,4,0,4,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:nl;effect:read;path:collector/src/cli_db.rs;status:ok
subagent,codex,10.695,10.695,0.0,4,0,4,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:nl;effect:read;path:collector/src/cmd_trace.rs;status:ok
subagent,codex,10.695,10.695,0.0,4,0,4,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:nl;effect:read;path:collector/src/main.rs;status:ok
subagent,codex,10.695,10.695,0.0,4,0,4,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:rg;effect:read;path:collector/src;status:ok
subagent,codex,10.695,10.695,0.0,4,0,4,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:jq;effect:read;path:docs/visexp/out;status:ok
top,claude,-10.197,0.0,10.197,0,15,15,True,project:agentsight;session:paper;prompt:aggregate;tool:shell;cmd:gh;effect:process;status:ok
top,claude,-10.197,0.0,10.197,0,15,15,True,project:agentsight;session:paper;prompt:db;tool:shell;cmd:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
top,codex,10.101,10.101,0.0,34,0,34,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sed;effect:read;path:collector/src/sources;status:ok
top,claude,-9.517,0.0,9.517,0,14,14,True,project:agentsight;session:model;prompt:work;tool:subagent;cmd:taskupdate;effect:process;status:ok
top,claude,-9.517,0.0,9.517,0,14,14,True,project:agentsight;session:paper;prompt:aggregate;tool:read;cmd:read;effect:read;path:session/tasks;status:ok
