agent,cohort,tool,cmd,effect,status,count
codex,top,shell,sed,read,ok,469
codex,top,shell,git,read,ok,449
claude,top,shell,gh,process,ok,336
codex,top,shell,rg,read,ok,159
claude,subagent,read,read,read,ok,148
claude,top,edit,edit,write,ok,110
codex,subagent,shell,nl,read,ok,109
codex,top,shell,cargo,test,ok,106
claude,top,read,read,read,ok,105
codex,top,shell,python3,process,ok,90
claude,top,shell,tail,read,ok,78
codex,top,shell,gh,process,ok,78
claude,subagent,edit,edit,write,ok,67
claude,top,shell,cd,process,ok,65
claude,top,shell,grep,read,ok,59
codex,top,shell,agentsight,process,ok,59
codex,top,tool,write,process,observed,52
codex,top,tool,write,process,ok,50
claude,subagent,shell,grep,read,ok,49
claude,top,shell,git,read,ok,47
codex,top,shell,find,read,ok,47
codex,top,shell,curl,network,ok,45
codex,top,shell,git,repo,ok,42
codex,subagent,shell,git,read,ok,38
codex,top,shell,cargo,process,ok,37
claude,top,shell,agentsight,process,ok,36
codex,top,shell,nl,read,ok,36
claude,top,shell,cargo,test,ok,35
claude,top,edit,write,write,ok,34
codex,top,shell,ps,process,ok,31
codex,top,shell,tmux,process,ok,29
codex,top,shell,jq,read,ok,28
codex,top,plan,update,process,observed,28
claude,top,shell,git,repo,ok,27
codex,subagent,shell,sed,read,ok,27
codex,top,shell,rustfmt,process,ok,27
codex,subagent,shell,rg,read,ok,26
claude,top,shell,#,process,ok,25
claude,top,shell,sed,read,ok,25
claude,subagent,shell,find,read,ok,24
codex,top,shell,ls,read,ok,24
codex,top,shell,rm,write,ok,24
claude,top,shell,curl,network,ok,21
claude,top,shell,ls,read,ok,20
codex,top,shell,cat,read,ok,20
codex,top,shell,sqlite3,process,fail,17
claude,top,subagent,taskupdate,process,ok,16
codex,top,shell,rg,read,fail,16
codex,top,shell,cargo,test,fail,15
codex,top,shell,python3,write,ok,15
claude,subagent,shell,cargo,test,ok,14
claude,subagent,shell,cd,process,ok,14
claude,top,subagent,agent,process,ok,14
codex,subagent,shell,jq,read,ok,14
codex,top,shell,-n,process,ok,14
codex,top,shell,wc,read,ok,14
codex,top,shell,-v,process,ok,13
codex,top,shell,6s,process,fail,13
codex,top,shell,gh,process,fail,13
claude,top,shell,cat,read,ok,12
codex,top,shell,tmp=$(mktemp,process,ok,12
codex,top,subagent,wait,process,observed,12
codex,top,shell,which,process,ok,12
codex,top,shell,head,read,ok,11
codex,top,shell,sha256sum,process,ok,11
codex,top,shell,git,network,ok,10
codex,top,shell,ss,process,ok,10
