participant_id,packet_id,task_id,condition,response_json,task_time_seconds,confidence,notes
,UT1-semantic,UT1,semantic,{},,,
,UT1-nonsemantic,UT1,nonsemantic,{},,,
,UT1-flat,UT1,flat,{},,,
,UT2-semantic,UT2,semantic,{},,,
,UT2-flat,UT2,flat,{},,,
,UT2-nonsemantic,UT2,nonsemantic,{},,,
,UT3-semantic,UT3,semantic,{},,,
,UT3-nonsemantic,UT3,nonsemantic,{},,,
,UT3-flat,UT3,flat,{},,,
,UT4-semantic-diff,UT4,semantic-diff,{},,,
,UT4-flat,UT4,flat,{},,,
,UT5-semantic-token,UT5,semantic-token,{},,,
,UT5-folded-token,UT5,folded-token,{},,,
,UT6-summary,UT6,summary,{},,,
,UT6-json,UT6,json,{},,,
